sequence	16S_rRNA_Count	metadata_NSTI
SV_362_Rhodobacterales	1	0.00015
SV_363_Pseudomonadales	1	0.007624
SV_364_SAR11_clade	1	0.007219
SV_365_Flavobacteriales	1	0.5476880000000001
SV_366_Vibrionales	3	0.008024
SV_367_Rhodobacterales	1	0.032854
SV_368_SAR11_clade	1	0.007384
SV_369_Rhodobacterales	1	0.015247
SV_36_Oceanospirillales	1	0.018282
SV_370_Flavobacteriales	1	0.013109
SV_371_NA	1	0.736954
SV_372_Acholeplasmatales	1	0.232632
SV_373_Campylobacterales	4	0.063467
SV_374_Campylobacterales	4	0.115343
SV_375_Rhodobacterales	1	0.00015
SV_376_NA	1	0.00015
SV_377_Rhizobiales	1	0.136526
SV_378_Sphingobacteriales	1	0.4236
SV_379_Cellvibrionales	1	0.181897
SV_37_Cellvibrionales	1	0.291527
SV_380_Rhodobacterales	1	0.00015
SV_381_Caulobacterales	1	0.000101
SV_382_Sphingomonadales	1	0.000101
SV_383_SAR11_clade	1	0.029829
SV_384_SAR11_clade	1	0.007657
SV_385_Puniceicoccales	1	0.105099
SV_386_Rickettsiales	1	0.713519
SV_387_Caulobacterales	1	0.00015
SV_388_NA	1	0.46187700000000004
SV_389_Puniceicoccales	1	0.170518
SV_38_Rhodobacterales	2	0.00015
SV_390_Rhodobacterales	1	0.000101
SV_391_Rhodobacterales	1	0.00015
SV_392_Rhodobacterales	1	0.01523
SV_393_Oceanospirillales	1	0.199397
SV_394_Oceanospirillales	2	0.0077540000000000005
SV_395_Rhizobiales	1	0.00015
SV_396_Flavobacteriales	1	0.5606369999999999
SV_397_Rhodobacterales	1	0.045941
SV_398_Puniceicoccales	1	0.182198
